,symbol,metric,value
668,CAH,Previous Close,67.98
669,CAH,Open,68.03
670,CAH,Bid,0.00 x 800
671,CAH,Ask,70.05 x 800
672,CAH,Day's Range,67.82 - 68.93
673,CAH,52 Week Range,45.85 - 71.45
674,CAH,Volume,"1,577,593"
675,CAH,Avg. Volume,"2,524,545"
676,KMX,Previous Close,90.34
677,KMX,Open,90.64
678,KMX,Bid,0.00 x 1300
679,KMX,Ask,0.00 x 900
680,KMX,Day's Range,90.05 - 92.05
681,KMX,52 Week Range,84.37 - 155.98
682,KMX,Volume,"828,949"
683,KMX,Avg. Volume,"1,359,887"
684,CCL,Previous Close,9.54
685,CCL,Open,9.51
686,CCL,Bid,0.00 x 34100
687,CCL,Ask,10.24 x 40700
688,CCL,Day's Range,9.49 - 10.95
689,CCL,52 Week Range,8.10 - 27.39
690,CCL,Volume,"37,468,024"
691,CCL,Avg. Volume,"54,724,250"
692,CARR,Previous Close,41.46
693,CARR,Open,41.45
694,CARR,Bid,41.70 x 900
695,CARR,Ask,0.00 x 1300
696,CARR,Day's Range,41.33 - 41.77
697,CARR,52 Week Range,34.12 - 58.89
698,CARR,Volume,"3,007,126"
699,CARR,Avg. Volume,"4,531,522"
700,CTLT,Previous Close,106.31
701,CTLT,Open,105.98
702,CTLT,Bid,0.00 x 1000
703,CTLT,Ask,0.00 x 800
704,CTLT,Day's Range,104.76 - 106.65
705,CTLT,52 Week Range,86.34 - 142.64
706,CTLT,Volume,"578,613"
707,CTLT,Avg. Volume,"1,027,553"
708,CAT,Previous Close,197.21
709,CAT,Open,197.56
710,CAT,Bid,0.00 x 1200
711,CAT,Ask,0.00 x 800
712,CAT,Day's Range,193.45 - 198.68
713,CAT,52 Week Range,167.08 - 237.90
714,CAT,Volume,"2,368,446"
715,CAT,Avg. Volume,"2,923,243"
716,CBOE,Previous Close,123.43
717,CBOE,Open,123.50
718,CBOE,Bid,121.52 x 900
719,CBOE,Ask,122.37 x 900
720,CBOE,Day's Range,121.37 - 125.00
721,CBOE,52 Week Range,103.82 - 135.65
722,CBOE,Volume,"361,727"
723,CBOE,Avg. Volume,"621,545"
724,CBRE,Previous Close,84.92
725,CBRE,Open,83.70
726,CBRE,Bid,82.54 x 800
727,CBRE,Ask,82.55 x 800
728,CBRE,Day's Range,82.18 - 83.87
729,CBRE,52 Week Range,67.68 - 111.00
730,CBRE,Volume,"381,686"
731,CBRE,Avg. Volume,"1,863,095"
732,CDW,Previous Close,188.37
733,CDW,Open,186.07
734,CDW,Bid,185.01 x 800
735,CDW,Ask,185.08 x 800
736,CDW,Day's Range,184.66 - 187.00
737,CDW,52 Week Range,152.15 - 208.71
738,CDW,Volume,"998,924"
739,CDW,Avg. Volume,"756,261"
740,CE,Previous Close,116.00
741,CE,Open,115.75
742,CE,Bid,110.30 x 800
743,CE,Ask,135.06 x 800
744,CE,Day's Range,114.88 - 116.94
745,CE,52 Week Range,104.74 - 176.50
746,CE,Volume,"785,012"
747,CE,Avg. Volume,"1,088,659"
748,CNC,Previous Close,95.11
749,CNC,Open,95.20
750,CNC,Bid,93.03 x 800
751,CNC,Ask,0.00 x 800
752,CNC,Day's Range,94.98 - 96.01
753,CNC,52 Week Range,59.67 - 98.53
754,CNC,Volume,"1,402,983"
755,CNC,Avg. Volume,"2,770,243"
756,CNP,Previous Close,31.91
757,CNP,Open,32.01
758,CNP,Bid,0.00 x 1800
759,CNP,Ask,0.00 x 1200
760,CNP,Day's Range,31.80 - 32.33
761,CNP,52 Week Range,24.33 - 33.00
762,CNP,Volume,"3,147,473"
763,CNP,Avg. Volume,"3,868,891"
764,CDAY,Previous Close,64.88
765,CDAY,Open,62.96
766,CDAY,Bid,64.63 x 1000
767,CDAY,Ask,64.85 x 1000
768,CDAY,Day's Range,63.00 - 65.42
769,CDAY,52 Week Range,43.23 - 130.37
770,CDAY,Volume,"257,821"
771,CDAY,Avg. Volume,"1,778,966"
772,CF,Previous Close,109.05
773,CF,Open,109.18
774,CF,Bid,112.60 x 800
775,CF,Ask,0.00 x 1000
776,CF,Day's Range,109.10 - 112.87
777,CF,52 Week Range,44.04 - 113.49
778,CF,Volume,"3,012,696"
